Name,Profile URL,Joined,Location,Market,Website,Employees,Stage,Total Raised
Navigator,https://angel.co/company/navigator-hq,Jun '19,Seattle,Startups,http://aspen.team,11-50,Series A,12000000
Keeper Tax,https://angel.co/company/keeper-tax,Feb '19,San Francisco,Web Development,https://www.keepertax.com,1-10,"",1805000
Sheltr,https://angel.co/company/getsheltr,Nov '18,San Francisco,Subscription Businesses,http://www.getsheltr.com,1-10,"",3200000
NurseFly,https://angel.co/company/nursefly,Sep '18,San Francisco,Employment,http://www.nursefly.com,1-10,Acquired,15000000
Re:store,https://angel.co/company/visitrestore,Aug '18,San Francisco,Sharing Economy,http://visitrestore.com,11-50,Seed,1700000
MakersPlace,https://angel.co/company/makersplace,Aug '18,San Francisco,Content Creators,https://makersplace.com,1-10,Seed,2000000
Sisu,https://angel.co/company/sisu-data,Aug '18,San Francisco,Machine Learning,https://sisu.ai/,11-50,Series A,14200000
Rune,https://angel.co/company/joinrune,Aug '18,San Francisco,Online Gaming,https://www.rune.ai/,1-10,Seed,2100000
Wisy,https://angel.co/company/wisyapp,Aug '18,San Francisco,Data,https://wisy.app/,11-50,"",1200000
Azarus,https://angel.co/company/azarus,Aug '18,San Francisco,Mobile Games,https://www.azarus.io,1-10,"",1800000
VacationRenter,https://angel.co/company/vacationrenter,Jul '18,San Francisco,Vacation Rentals,https://www.vacationrenter.com,1-10,Seed,3000000
Cue,https://angel.co/company/cuecalendar,Jul '18,San Francisco,Productivity Software,https://cue.app/,1-10,Series A,7300000
OODA Health,https://angel.co/company/ooda-health,Jun '18,Salt Lake City,Financial Services,https://www.ooda-health.com/,51-200,Series A,40500000
Karuna Health,https://angel.co/company/karunahealth,May '18,San Francisco,B2B,https://meetkaruna.com,11-50,Seed,4729998
rideOS,https://angel.co/company/rideos,Apr '18,San Francisco,Technology,http://www.rideos.ai/,11-50,Series A,34000000
DataGrail,https://angel.co/company/datagrail,Mar '18,San Francisco,Legal,https://datagrail.io,11-50,Series A,9000000
Wheelhouse,https://angel.co/company/usewheelhouse,Feb '18,San Francisco,Hospitality,http://www.usewheelhouse.com,51-200,Series A,25000000
Ankr,https://angel.co/company/ankr-network,Feb '18,San Francisco,Cloud Infrastructure,http://ankr.com,51-200,Seed,10000000
Spekit,https://angel.co/company/spekit,Jan '18,San Francisco,Training,http://www.spekit.co,11-50,"",2540000
Pilot,https://angel.co/company/pilothq,Dec '17,San Francisco,Accounting,https://pilot.com,51-200,Series B,58300000
Origin Protocol,https://angel.co/company/originprotocol,Nov '17,Boulder,Open Source,http://www.originprotocol.com,11-50,"",38000600
Actijoy,https://angel.co/company/actijoy-1,Nov '17,San Francisco,Pets,http://www.actijoy.com,1-10,Seed,1250000
CaptivateIQ,https://angel.co/company/captivateiq,Nov '17,San Francisco,B2B,http://www.captivateiq.com,11-50,Seed,3600000
Kapwing,https://angel.co/company/kapwing,Oct '17,San Francisco,Video Editing,http://www.kapwing.com,11-50,"",12700000
Mercury,https://angel.co/company/mercury,Sep '17,San Francisco,Banking,http://mercury.co,11-50,Seed,26000000
Physera,https://angel.co/company/physera,Sep '17,Palo Alto,Employer Benefits Programs,https://physera.com,11-50,Series A,10800000
Torii,https://angel.co/company/toriiproperties,Aug '17,San Francisco,Startups,https://www.torii.properties,1-10,Seed,1400000
Blueground,https://angel.co/company/blueground,Aug '17,Athens,Hospitality,https://www.theblueground.com,201-500,Series B,77560000
Lambda School,https://angel.co/company/lambda-school,Jul '17,San Francisco,Technical Continuing Education,https://lambdaschool.com,51-200,Seed,4120000
Strive,https://angel.co/company/strive-talent,Jul '17,Remote,Training,http://strive.co/,11-50,Seed,3800000
Raven Black,https://angel.co/company/ravenblack,Jul '17,San Francisco,Defense,https://raven.black/,11-50,Seed,3500000
Caption Health,https://angel.co/company/captionhealth,Jun '17,San Francisco,Deep Learning,https://www.captionhealth.com,11-50,Series A,2500000
Kura Technologies,https://angel.co/company/kura-tech,Apr '17,San Francisco,Augmented Reality,https://kura.tech/,11-50,Seed,1500000
Trusted Health,https://angel.co/company/trustedhealth,Apr '17,Remote,Staffing Firms,https://www.trustedhealth.com,51-200,Series A,20000000
Simple Habit,https://angel.co/company/simple-habit,Apr '17,San Francisco,Subscription Businesses,https://simplehabit.com,1-10,Series A,10000000
Visor,https://angel.co/company/myvisor,Mar '17,San Francisco,Personal Finance,http://www.myvisor.com,11-50,Seed,6500000
